Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:43:23

Pixel   Wavelength(nm)    Intensity
 348         411.42        39
 349         411.79        42
 350         412.17        43
 351         412.55        37
 352         412.92        39
 353         413.30        42
 354         413.68        41
 355         414.05        41
 356         414.43        44
 357         414.81        41
 358         415.18        36
 359         415.56        40
 360         415.94        34
 361         416.31        34
 362         416.69        38
 363         417.07        43
 364         417.44        43
 365         417.82        41
 366         418.20        41
 367         418.57        36
 368         418.95        42
 369         419.33        37
 370         419.71        41
 371         420.08        41
 372         420.46        38
 373         420.84        40
 374         421.21        43
 375         421.59        40
 376         421.97        38
 377         422.35        47
 378         422.72        40
 379         423.10        34
 380         423.48        36
 381         423.86        41
 382         424.24        33
 383         424.61        34
 384         424.99        41
 385         425.37        33
 386         425.75        32
 387         426.13        43
 388         426.50        39
 389         426.88        40
 390         427.26        37
 391         427.64        39
 392         428.02        38
 393         428.40        35
 394         428.77        37
 395         429.15        34
 396         429.53        39
 397         429.91        44
 398         430.29        45
 399         430.67        46
 400         431.05        51
 401         431.42        37
 402         431.80        40
 403         432.18        42
 404         432.56        38
 405         432.94        46
 406         433.32        40
 407         433.70        37
 408         434.08        44
 409         434.46        44
 410         434.84        44
 411         435.22        39
 412         435.60        45
 413         435.98        42
 414         436.35        44
 415         436.73        49
 416         437.11        42
 417         437.49        45
 418         437.87        49
 419         438.25        41
 420         438.63        38
 421         439.01        45
 422         439.39        47
 423         439.77        44
 424         440.15        48
 425         440.53        43
 426         440.91        45
 427         441.29        52
 428         441.67        43
 429         442.05        58
 430         442.43        51
 431         442.81        45
 432         443.19        53
 433         443.58        51
 434         443.96        49
 435         444.34        50
 436         444.72        49
 437         445.10        52
 438         445.48        54
 439         445.86        53
 440         446.24        55
 441         446.62        51
 442         447.00        55
 443         447.38        54
 444         447.76        58
 445         448.15        58
 446         448.53        57
 447         448.91        57
 448         449.29        60
 449         449.67        63
 450         450.05        61
 451         450.43        57
 452         450.81        63
 453         451.20        63
 454         451.58        61
 455         451.96        69
 456         452.34        68
 457         452.72        68
 458         453.10        67
 459         453.49        72
 460         453.87        66
 461         454.25        76
 462         454.63        75
 463         455.01        74
 464         455.40        79
 465         455.78        80
 466         456.16        93
 467         456.54        85
 468         456.92        79
 469         457.31        84
 470         457.69        82
 471         458.07        79
 472         458.45        87
 473         458.84        92
 474         459.22        97
 475         459.60       106
 476         459.98       107
 477         460.37        95
 478         460.75        95
 479         461.13       106
 480         461.52        99
 481         461.90       113
 482         462.28       108
 483         462.66        98
 484         463.05       107
 485         463.43       113
 486         463.81       118
 487         464.20       104
 488         464.58       122
 489         464.96       125
 490         465.35       111
 491         465.73       123
 492         466.11       133
 493         466.50       135
 494         466.88       132
 495         467.27       131
 496         467.65       145
 497         468.03       141
 498         468.42       141
 499         468.80       152
 500         469.18       149
 501         469.57       148
 502         469.95       166
 503         470.34       169
 504         470.72       173
 505         471.10       177
 506         471.49       168
 507         471.87       179
 508         472.26       181
 509         472.64       182
 510         473.03       188
 511         473.41       193
 512         473.79       194
 513         474.18       212
 514         474.56       216
 515         474.95       215
 516         475.33       225
 517         475.72       224
 518         476.10       232
 519         476.49       227
 520         476.87       241
 521         477.26       245
 522         477.64       255
 523         478.03       270
 524         478.41       263
 525         478.80       272
 526         479.18       272
 527         479.57       273
 528         479.95       298
 529         480.34       292
 530         480.72       305
 531         481.11       310
 532         481.49       313
 533         481.88       318
 534         482.26       330
 535         482.65       334
 536         483.04       329
 537         483.42       332
 538         483.81       353
 539         484.19       360
 540         484.58       357
 541         484.96       371
 542         485.35       372
 543         485.74       387
 544         486.12       367
 545         486.51       388
 546         486.89       388
 547         487.28       387
 548         487.67       399
 549         488.05       398
 550         488.44       411
 551         488.83       393
 552         489.21       402
 553         489.60       409
 554         489.99       414
 555         490.37       419
 556         490.76       417
 557         491.14       413
 558         491.53       425
 559         491.92       419
 560         492.31       421
 561         492.69       416
 562         493.08       433
 563         493.47       427
 564         493.85       425
 565         494.24       417
 566         494.63       431
 567         495.01       423
 568         495.40       449
 569         495.79       430
 570         496.18       427
 571         496.56       434
 572         496.95       432
 573         497.34       443
 574         497.72       451
 575         498.11       451
 576         498.50       449
 577         498.89       451
 578         499.28       449
 579         499.66       456
 580         500.05       457
 581         500.44       461
 582         500.83       469
 583         501.21       469
 584         501.60       468
 585         501.99       482
 586         502.38       492
 587         502.77       485
 588         503.15       496
 589         503.54       491
 590         503.93       500
 591         504.32       506
 592         504.71       519
 593         505.09       524
 594         505.48       521
 595         505.87       532
 596         506.26       536
 597         506.65       528
 598         507.04       563
 599         507.43       546
 600         507.81       561
 601         508.20       581
 602         508.59       579
 603         508.98       620
 604         509.37       611
 605         509.76       620
 606         510.15       636
 607         510.54       629
 608         510.93       661
 609         511.31       656
 610         511.70       645
 611         512.09       682
 612         512.48       668
 613         512.87       704
 614         513.26       697
 615         513.65       712
 616         514.04       735
 617         514.43       745
 618         514.82       761
 619         515.21       771
 620         515.60       785
 621         515.99       800
 622         516.38       809
 623         516.77       820
 624         517.16       831
 625         517.55       857
 626         517.94       849
 627         518.33       858
 628         518.72       870
 629         519.11       876
 630         519.50       896
 631         519.89       923
 632         520.28       909
 633         520.67       931
 634         521.06       931
 635         521.45       941
 636         521.84       979
 637         522.23       978
 638         522.62       963
 639         523.01       971
 640         523.40       988
 641         523.79      1000
 642         524.18      1002
 643         524.57      1037
 644         524.96      1042
 645         525.35      1029
 646         525.74      1039
 647         526.13      1046
 648         526.52      1077
 649         526.91      1055
 650         527.31      1064
 651         527.70      1095
 652         528.09      1077
 653         528.48      1094
 654         528.87      1123
 655         529.26      1109
 656         529.65      1138
 657         530.04      1136
 658         530.43      1136
 659         530.83      1181
 660         531.22      1153
 661         531.61      1209
 662         532.00      1184
 663         532.39      1185
 664         532.78      1227
 665         533.17      1211
 666         533.57      1209
 667         533.96      1229
 668         534.35      1209
 669         534.74      1233
 670         535.13      1244
 671         535.52      1241
 672         535.92      1279
 673         536.31      1263
 674         536.70      1271
 675         537.09      1299
 676         537.48      1286
 677         537.88      1303
 678         538.27      1335
 679         538.66      1299
 680         539.05      1316
 681         539.45      1317
 682         539.84      1338
 683         540.23      1341
 684         540.62      1333
 685         541.02      1309
 686         541.41      1335
 687         541.80      1348
 688         542.19      1292
 689         542.59      1307
 690         542.98      1337
 691         543.37      1344
 692         543.76      1359
 693         544.16      1356
 694         544.55      1338
 695         544.94      1377
 696         545.34      1365
 697         545.73      1357
 698         546.12      1403
 699         546.51      1379
 700         546.91      1387
 701         547.30      1398
 702         547.69      1409
 703         548.09      1407
 704         548.48      1436
 705         548.87      1423
 706         549.27      1445
 707         549.66      1444
 708         550.05      1426
 709         550.45      1433
 710         550.84      1444
 711         551.24      1455
 712         551.63      1452
 713         552.02      1469
 714         552.42      1475
 715         552.81      1477
 716         553.20      1472
 717         553.60      1478
 718         553.99      1472
 719         554.39      1497
 720         554.78      1481
 721         555.17      1532
 722         555.57      1514
 723         555.96      1496
 724         556.36      1495
 725         556.75      1491
 726         557.14      1480
 727         557.54      1487
 728         557.93      1480
 729         558.33      1482
 730         558.72      1480
 731         559.12      1464
 732         559.51      1430
 733         559.91      1400
 734         560.30      1338
 735         560.69      1331
 736         561.09      1237
 737         561.48      1183
 738         561.88      1128
 739         562.27      1049
 740         562.67       968
 741         563.06       923
 742         563.46       863
 743         563.85       815
 744         564.25       797
 745         564.64       786
 746         565.04       814
 747         565.43       846
 748         565.83       890
 749         566.22       931
 750         566.62       996
 751         567.01      1063
 752         567.41      1105
 753         567.80      1167
 754         568.20      1192
 755         568.60      1224
 756         568.99      1275
 757         569.39      1310
 758         569.78      1295
 759         570.18      1330
 760         570.57      1341
 761         570.97      1322
 762         571.36      1346
 763         571.76      1378
